object,other,type,con,ra_hr,ra_min,dec_deg,dec_min,mag,subr,urano,ti,size_max,size_min,pa,class,nsts,brstr,bchm,ngc descr,notes
NGC1819,UGC3265,GALXY,ORI,5,11.8,5,12,12.4,13,225,11,1.7m,1.2m,120,SBO,,,,vF;S;R,
NGC1843,MCG-2-14-8,GALXY,ORI,5,14.1,-10,38,13,99.9,270,11,2.1m,1.7m,110,Sc,,,,F;S;R;lbM,
Abell539,,GALCL,ORI,5,16.7,6,28,14.4,99.9,180,11,16.8m,,,1 2 III,,,,,27 Gal/Deg; 50 galaxies
vdB37,LBN850,BRTNB,ORI,5,18.1,13,26,99.9,99.9,180,11,12m,4.7m,,R,,,,,
Sh2-263,LBN866,BRTNB,ORI,5,21.4,8,25,99.9,99.9,180,11,20m,16m,,E+R,,5.7,,10''-eF; pL; R; 9th mag star involved,Brightst part of Lambda Ori neb
vdB38,Ced44,BRTNB,ORI,5,21.4,8,25,99.9,99.9,180,11,20m,16m,,R,,,,,
NGC1875,MCG1-14-31,GALXY,ORI,5,21.8,6,41,13.6,13.1,180,11,1.5m,0.5m,90,SO,,,,eF;S;R,
Do17,,OPNCL,ORI,5,22.4,7,7,99.9,99.9,180,11,12m,,,IV 2 p,,,,,Only 5 pB *
DoDz2,,OPNCL,ORI,5,23.2,11,27,99.9,99.9,180,11,12m,,,III 2p,12,,,,
Do19,,OPNCL,ORI,5,23.7,8,10,99.9,99.9,180,11,24m,,,IV 1 p,,,,,
NGC1908,,NONEX,ORI,5,25.9,-2,32,99.9,99.9,225,11,,,,,,,,v diffuse neb susp,H V 33
Cr65,,OPNCL,ORI,5,26.1,16,42,3,99.9,180,11,220m,,,II 3 p,,14.7,,4''-vB; eL; scatt at 17X; 28* mags 6?10,Centered on 113 Tau; large group
Do21,Cr458,OPNCL,ORI,5,27.4,7,4,99.9,99.9,180,11,12m,,,IV 2 p,,,,,Skiff: not seen in 0.2 degree field
NGC1924,MCG-1-14-11,GALXY,ORI,5,28,-5,19,12.5,13.1,225,11,1.6m,1.2m,130,SBbc Ring,,,,vF;pL;iR;st nr,H III 447
NGC1927,,NONEX,ORI,5,28.7,-8,23,99.9,99.9,270,11,,,,,,,,diffuse nebulosity,
B225,LDN1583,DRKNB,ORI,5,29,11,36,79.9,79.9,180,11,35m,5m,,5 Ir,,,,,South end of extension running S from B30
B30,LDN1577,DRKNB,ORI,5,30.2,12,46,79.9,79.9,180,11,67m,,,5 Ir,,,,4''-low contrast dark area,Large dark area with few stars
PK197-14.1,Abell10,PLNNB,ORI,5,31.8,6,56,15.2,12.8,180,11,34s,,,3,,20.2,,11''-vF; pS; nBM; averted vision helps,
B31,LDN1582,DRKNB,ORI,5,32,12,46,79.9,79.9,180,11,30m,,,4 Ir,,,,,3 deg NW Lamba Ori; Extended NE and SW; the E. and darkest part of B 30
B32,LDN1583,DRKNB,ORI,5,32.1,12,25,79.9,79.9,180,11,3m,,,,,,,,Dark projection from S. end of B 31 to the E.
LDN1641,,DRKNB,ORI,5,33,-6,0,79.9,79.9,270,11,300m,,,5 Ir,,,,,Orion nebula region
IC423,LBN913,BRTNB,ORI,5,33.4,0,37,99.9,99.9,225,11,2m,2m,,E,,,,vF;L oval ring,
Berk20,,OPNCL,ORI,5,33.6,0,11,99.9,99.9,225,11,3m,,,II 2p :b,20,15,,,
