HIP,RA,DEC,V,PARX,SIGPX,B-V,SIGBV,CCDM,HD,BD
929,00 11 32.70,-58 54 35.4,8.34,17,0.82,0.619,0.002,          ,741,          
931,00 11 35.10,-03 04 40.8,7.56,9.91,1.48,0.551,0.015,00116-0305,717,B- 3   14 
934,00 11 35.60,-57 28 20.6,9.04,27.46,1.09,0.891,0.02,          ,750,          
941,00 11 37.20,-72 16 31.7,8.85,8.01,0.94,0.518,0.007,          ,751,          
943,00 11 37.40,+10 19 42.4,8.61,20.55,1.21,0.643,0.022,          ,727,B+ 9   13 
947,00 11 40.70,-09 42 10.0,8.53,6.88,1.58,0.515,0.015,00117-0942,738,B-10   16 
952,00 11 45.70,+27 30 36.9,8.45,10.91,1.15,0.481,0.015,          ,737,B+26    6 
953,00 11 47.10,-33 14 01.8,8.73,9.29,1.09,0.646,0.016,          ,758,          
955,00 11 48.10,-17 33 27.7,9.02,16.48,1.49,0.599,0.021,          ,747,B-18   12 
960,00 11 50.80,-19 42 11.7,9.72,9.92,1.46,0.557,0.003,          ,748,B-20   16 
961,00 11 51.00,-35 32 48.5,9.34,10.46,1.33,0.695,0.022,          ,759,          
976,00 12 05.40,-07 05 19.2,8.66,10.57,1.33,0.43,0.021,          ,778,B- 7   16 
985,00 12 12.90,-27 47 04.4,8.25,9.81,1.21,0.448,0.015,          ,798,          
991,00 12 18.30,-40 38 44.1,10.58,8.64,1.94,0.6,0.061,          ,      ,          
992,00 12 19.70,-57 30 21.3,10.05,9.1,1.47,0.643,0.04,          ,814,          
996,00 12 28.20,+20 14 03.8,8.18,19.39,1,0.669,0.013,          ,804,B+19   18 
1000,00 12 30.10,-22 04 01.5,8.73,15.32,1.34,0.707,0.002,          ,812,B-22   23 
1003,00 12 32.80,-30 51 33.4,8.66,21.09,1.23,0.743,0.007,          ,823,          
1016,00 12 39.60,-59 30 28.3,9.56,7.06,1.25,0.659,0.027,          ,858,          
1022,00 12 45.00,+04 58 33.0,9.85,15.9,1.78,0.939,0.015,          ,      ,B+ 4   16 
1028,00 12 49.50,-31 53 51.7,8.8,6.35,1.36,0.725,0.015,          ,856,          
1029,00 12 49.80,-47 30 48.7,9.86,5.72,1.59,0.601,0.003,          ,857,          
1044,00 13 02.60,-45 10 34.8,10.74,27.5,1.94,1.308,0.002,          ,      ,          
1045,00 13 03.60,-24 57 16.7,10.1,5.52,1.48,0.584,0.015,          ,      ,          
1051,00 13 05.90,+20 11 25.5,8.75,11.11,1.11,0.401,0.02,          ,864,B+19   19 
1052,00 13 08.40,+84 02 39.3,9.02,9.18,0.94,0.489,0.021,          ,      ,B+83    3 
1055,00 13 09.00,+20 22 56.7,10.41,24.96,2.95,1.36,0.015,00132+2023,      ,B+19   20 
1058,00 13 09.90,-43 03 54.6,7.57,14.72,0.86,0.453,0.015,          ,903,          
1072,00 13 18.20,-20 37 07.7,7.45,10.64,0.9,0.48,0.015,00133-2037,899,B-21   15 
1078,00 13 24.30,+19 04 17.9,9.86,28.3,1.48,1.19,0.02,          ,      ,B+18   15 
1085,00 13 30.80,-40 21 30.2,9.05,30,1.25,0.913,0.02,          ,924,          
1094,00 13 39.10,-28 18 02.6,10.96,11.12,2.34,0.952,0.007,          ,      ,          
1114,00 13 52.90,-56 59 59.2,7.15,14.45,0.76,0.513,0.004,          ,980,          
1119,00 14 00.00,-10 57 13.3,9.42,24.14,1.58,0.962,0.005,          ,      ,B-11   28 
1121,00 14 01.20,+00 52 07.4,9.22,6.69,1.23,0.523,0.028,          ,964,B+ 0   21 
1137,00 14 13.00,+35 25 05.0,8.08,13.44,0.89,0.461,0.009,          ,975,B+34   18 
1140,00 14 14.70,-55 04 10.5,6.66,21.62,0.68,0.462,0.008,          ,1004,          
1147,00 14 20.80,-21 11 47.0,6.89,18.19,0.9,0.502,0.005,          ,1000,B-21   17 
1154,00 14 25.50,-27 10 11.2,8.93,7.55,1.12,0.618,0.022,          ,1018,          
1166,00 14 35.50,-31 01 23.6,9.49,8.31,1.44,0.476,0.027,          ,1039,          
1173,00 14 39.00,-39 47 39.0,9.18,13.85,1.37,0.657,0.019,          ,1040,          
1174,00 14 39.20,+12 14 11.0,9.1,12.12,1.4,0.681,0.02,          ,      ,B+11   22 
1184,00 14 47.70,+62 11 46.9,8.49,8.41,0.87,0.528,0.012,          ,1010,B+61   18 
1188,00 14 49.90,+23 47 36.3,8.62,7.09,1.01,0.556,0.015,          ,1047,B+22   26 
1203,00 15 03.50,-33 35 02.2,9.09,9.36,1.24,0.53,0.015,          ,1088,          
1206,00 15 04.50,-68 31 48.8,8.57,22.9,0.93,0.695,0.015,          ,1108,          
1214,00 15 09.80,+17 41 29.9,8.98,5.97,1.17,0.505,0.024,          ,1084,B+16   14 
1224,00 15 14.50,+53 04 26.6,10.36,12.24,2.14,0.89,0.02,          ,      ,          
1251,00 15 41.20,-26 26 32.0,10,8.16,1.71,0.68,0.02,          ,      ,          
1252,00 15 42.10,-07 18 23.0,8.93,6.48,1.4,0.518,0.026,          ,1147,B- 8   29 
1258,00 15 47.10,-66 55 26.6,8.54,11.65,0.8,0.551,0.015,          ,1184,          
1266,00 15 51.80,-08 52 34.6,9.05,10.45,1.3,0.557,0.024,          ,1162,B- 9   32 
1274,00 15 59.80,-09 28 46.2,8.57,13.96,1.25,0.568,0.019,          ,1170,B-10   34 
1275,00 16 00.00,-22 25 17.2,9.76,19.25,1.67,0.74,0.009,          ,1171,          
1276,00 16 02.00,-48 15 37.0,11.58,41.32,3.89,1.647,0.082,          ,      ,          
1281,00 16 03.10,-71 15 05.0,9.22,5.18,1.48,0.537,0.019,00161-7115,1209,          
1290,00 16 10.40,-27 46 41.3,9.35,13.79,1.38,0.655,0.003,          ,1196,          
1291,00 16 10.90,+55 52 05.0,9.02,5.96,1.11,0.42,0.015,          ,236362,B+55   36 
1297,00 16 14.50,+35 10 40.8,8.92,14.92,0.97,0.718,0.016,          ,1178,B+34   24 
1300,00 16 20.70,+71 55 51.5,9.74,7.65,0.94,0.446,0.038,          ,      ,B+71    9 
1304,00 16 22.20,-19 23 57.3,8.78,12.54,1.22,0.623,0.018,          ,1204,B-20   32 
1305,00 16 23.40,-34 49 45.5,9.07,9.45,1.22,0.586,0.019,          ,1216,          
1308,00 16 24.20,-46 43 11.5,11.06,21.82,2.32,1.258,0.015,          ,      ,          
1313,00 16 31.30,-56 13 28.5,9.18,5.71,1.22,0.588,0.017,          ,1251,          
1321,00 16 35.10,-01 31 23.2,8.52,11.21,1.18,0.24,0.015,          ,1229,B- 2   26 
1322,00 16 36.20,-50 16 10.8,12.38,44.82,3.44,1.53,0.02,          ,      ,          
1334,00 16 43.10,+20 51 24.0,10.01,23.92,1.54,0.95,0.02,          ,      ,B+20   17 
1335,00 16 43.40,+41 50 58.0,8.58,10.38,0.96,0.59,0.015,          ,1212,B+41   28 
1344,00 16 50.40,+32 27 02.9,10.04,7.98,1.59,0.493,0.039,          ,      ,B+31   24 
1350,00 16 53.70,-07 11 31.1,8.94,15.06,1.47,0.625,0.028,          ,1267,B- 7   32 
1358,00 17 01.30,+21 46 27.2,9.36,8.04,2.38,0.463,0.045,00170+2146,      ,B+20   18 
1374,00 17 11.90,-18 18 21.1,10.67,9.21,2.06,0.628,0.001,          ,      ,B-19   27 
1375,00 17 11.90,-61 15 30.0,8.5,7.35,0.88,0.469,0.012,          ,1323,          
1382,00 17 16.20,-43 51 09.7,7.96,27.32,0.84,0.651,0.003,          ,1320,          
1385,00 17 19.80,+00 35 24.4,8.96,9.83,1.29,0.637,0.026,          ,1311,B- 0   32 
1389,00 17 22.20,+18 51 34.4,10.51,23.3,3.17,1.31,0.02,00174+1852,      ,B+18   24 
1393,00 17 24.30,-51 31 20.5,9.36,8.38,2.39,0.547,0.016,00174-5131,1332,          
1394,00 17 24.30,-66 34 01.5,8.3,11.28,0.79,0.524,0.015,00174-6634,1358,          
1398,00 17 30.00,-47 25 59.6,11.36,24.12,2.91,1.22,0.015,          ,      ,          
